batch_id,row_id,question,model_answer,source_citation,expected_source_type,expected_display_citation,expected_yururluk_state,cross_type_disambiguation,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name,second_reviewer_name
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0011,911779 m.23 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 911779 m.23 (CB_YONETMELIK). Devredilen silahların kayıt ve tescili. Devredilen silahların kayıt ve tescili Madde 23 – (Mülga: 2/12/1999 - 99/13749 K.) [Kaynak: 911779 m.23],911779 m.23,CB_YONETMELIK,911779 m.23,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0012,911779 m.39 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 911779 m.39 (CB_YONETMELIK). Silah ve mermilere ait diğer hükümler. Silah ve mermilere ait diğer hükümler Madde 39 – (Mülga: 2/12/1999 - 99/13749 K.) [Kaynak: 911779 m.39],911779 m.39,CB_YONETMELIK,911779 m.39,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0013,1283 m.0 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1283 m.0 (CB_KARAR). İTHALAT REJİMİ KARARINA EK KARAR (KARAR SAYISI: 1283) Listeleri görmek için tıklayınız. [Kaynak: 1283 m.0],1283 m.0,CB_KARAR,1283 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0014,139 m.4 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 139 m.4 (CB_KARAR). Yürütme. Yürütme MADDE 4- (1) Bu Karar hükümlerini Enerji ve Tabii Kaynaklar Bakanı yürütür. [Kaynak: 139 m.4],139 m.4,CB_KARAR,139 m.4,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0015,517 m.0 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 517 m.0 (CB_KARAR). İTHALAT REJİMİ KARARINA EK KARAR (KARAR SAYISI: 517) Kararı görmek için tıklayınız. [Kaynak: 517 m.0],517 m.0,CB_KARAR,517 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0016,23 m.0 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 23 m.0 (CB_GENELGE). GENELGE Cumhurbaşkanlığından: Konu: 2017/21 sayılı Genelge GENELGE 2019/23 17 Ekim 2019 Recep Tayyip ERDOĞAN CUMHURBAŞKANI 18 Ekim 2019 CUMA Resmî Gazete Sayı : 30922 [Kaynak: 23 m.0],23 m.0,CB_GENELGE,23 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0017,25 m.0 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 25 m.0 (CB_GENELGE). GENELGE Cumhurbaşkanlığından: Konu: Bazı Genelgelerin Yürürlükten Kaldırılması GENELGE 2019/25 11 Kasım 2019 Recep Tayyip ERDOĞAN CUMHURBAŞKANI 12 Kasım 2019 SALI Resmî Gazete Sayı : 30946 [Kaynak: 25 m.0],25 m.0,CB_GENELGE,25 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0018,29 m.0 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 29 m.0 (CB_GENELGE). GENELGE Cumhurbaşkanlığından: Konu: Ulusal Akıllı Şehirler Stratejisi ve Eylem Planı GENELGE 2019/29 23 Aralık 2019 Recep Tayyip ERDOĞAN CUMHURBAŞKANI 24 Aralık 2019 SALI Resmî Gazete Sayı : 30988 [Kaynak: 29 m.0],29 m.0,CB_GENELGE,29 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0019,351 m.19 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 351 m.19 (KHK). Madde No: 19. Madde 19 – (13/12/1984 tarih ve 190 sayılı KHK'nin ilgili bölümüne eklenmiştir.) [Kaynak: 351 m.19],351 m.19,KHK,351 m.19,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0020,383 m.27 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 383 m.27 (KHK). Yürürlük. Yürürlük Madde 27 – Bu Kanun Hükmünde Kararname yayımı tarihinde yürürlüğe girer. [Kaynak: 383 m.27],383 m.27,KHK,383 m.27,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0021,640 m.23 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 640 m.23 (KHK). Basın ve Halkla İlişkiler Müşavirliği. Basın ve Halkla İlişkiler Müşavirliği MADDE 23- (Mülga: 2/7/2018-KHK-703/29 md.) [Kaynak: 640 m.23],640 m.23,KHK,640 m.23,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0022,7044 m.11 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 7044 m.11 (TUZUK). Madde No: 11. Madde 11 – Şurayı Devletçe görülmüş olan bunizamname neşri tarihinden muteberdir. [Kaynak: 7044 m.11],7044 m.11,TUZUK,7044 m.11,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0023,75578 m.52 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 75578 m.52 (TUZUK). Madde No: 52. Madde 52 Bir kişinin bir ülkeye girebilmesi için veba aşısı aranması şartı yoktur. [Kaynak: 75578 m.52],75578 m.52,TUZUK,75578 m.52,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0024,76156 m.185 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 76156 m.185 (TUZUK). Yürütme:. Yürütme: Madde 185 – Bu Tüzük hükümlerini Adalet ve Ulaştırma Bakanları yürütür. [Kaynak: 76156 m.185],76156 m.185,TUZUK,76156 m.185,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0025,12445 m.61 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 12445 m.61 (KKY). Kademe ilerlemesinin toplu olarak yapılması. Kademe ilerlemesinin toplu olarak yapılması MADDE 61 – (Mülga:RG-6/5/2011-27926) [Kaynak: 12445 m.61],12445 m.61,KKY,12445 m.61,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0026,15513 m.24 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 15513 m.24 (KKY). Yürütme. Yürütme MADDE 24 – (1) Bu Yönetmelik hükümlerini Gençlik ve Spor Bakanı yürütür. [Kaynak: 15513 m.24],15513 m.24,KKY,15513 m.24,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0027,16793 m.28 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 16793 m.28 (KKY). Yürütme. Yürütme MADDE 28 – (1) Bu Yönetmelik hükümlerini Gençlik ve Spor Bakanı yürütür. [Kaynak: 16793 m.28],16793 m.28,KKY,16793 m.28,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0028,10138 m.8 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 10138 m.8 (UY). Yürütme. Yürütme Madde 8 – Bu Yönetmelik hükümlerini Trakya Üniversitesi Rektörü yürütür. [Kaynak: 10138 m.8],10138 m.8,UY,10138 m.8,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0029,10289 m.12 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 10289 m.12 (UY). YÜRÜRLÜK HÜKÜMLERİ. YÜRÜRLÜK HÜKÜMLERİ Madde 12- Bu Yönetmelik yayımlandığı tarihte yürürlüğe girer. [Kaynak: 10289 m.12],10289 m.12,UY,10289 m.12,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0030,17068 m.7 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 17068 m.7 (UY). Merkezin organları. Merkezin organları MADDE 7 – (1) Merkezin organları; Müdür ve Yönetim Kuruludur. [Kaynak: 17068 m.7],17068 m.7,UY,17068 m.7,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0031,10898 m.6 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 10898 m.6 (TEBLIGLER). Yürütme. Yürütme MADDE 6 – (1) Bu Tebliğ hükümlerini Bayındırlık ve İskân Bakanı yürütür. [Kaynak: 10898 m.6],10898 m.6,TEBLIGLER,10898 m.6,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0032,11920 m.5 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 11920 m.5 (TEBLIGLER). Yürürlük. Yürürlük MADDE 5- (1) Bu Tebliğ yayımını takip eden 30 uncu gün yürürlüğe girer. [Kaynak: 11920 m.5],11920 m.5,TEBLIGLER,11920 m.5,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0033,13229 m.6 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 13229 m.6 (TEBLIGLER). Yürütme. Yürütme MADDE 6 – (1) Bu Tebliğ hükümlerini Bayındırlık ve İskân Bakanı yürütür. [Kaynak: 13229 m.6],13229 m.6,TEBLIGLER,13229 m.6,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0034,1412 m.362 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1412 m.362 (MULGA). Vazgeçilen davanın açılamıyacağı:. Vazgeçilen davanın açılamıyacağı: Madde 362 – Vazgeçilen dava bir daha açılamaz. [Kaynak: 1412 m.362],1412 m.362,MULGA,1412 m.362,MULGA,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0035,2822 m.4 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 2822 m.4 (MULGA). Şekli:. Şekli: Madde 4 – Toplu iş sözleşmesi yazılı olarak yapılmadıkça geçerli değildir. [Kaynak: 2822 m.4],2822 m.4,MULGA,2822 m.4,MULGA,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0036,353 m.158 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 353 m.158 (MULGA). Raporların ve diğer evrakın okunması:. Raporların ve diğer evrakın okunması: Madde 158 – (Mülga: 29/6/2006-5530/62 md.) [Kaynak: 353 m.158],353 m.158,MULGA,353 m.158,MULGA,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0037,3398 m.0 atfı hangi mevzuat türüne aittir? Benzer numaralı başka belgelerle karıştırmadan türü ve kısa dayanağı göster.,Bu atif KANUN turundedir. Dayanak 3398 m.0. Diğer Bilgiler. —————————— (1) Bu Kanunun ekindeki listeler aynı tarihli Resmi Gazete'de yayınlanmıştır. [Kaynak: 3398 m.0],3398 m.0,KANUN,3398 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0038,25 m.0 için belge türünü açıkça ayırır mısın? Yanlış source seçimi yapmadan kısa dayanak ver.,Bu atif CB_KARARNAME turundedir. Dayanak 25 m.0. Diğer Bilgiler. 25 SAYILI CUMHURBAŞKANLIĞI KARANAMESİNDE DEĞİŞİKLİK YAPAN CUMHURBAŞKANLIĞI KARARNAMELERİNE İLİŞKİN TABLO Değiştiren Cumhurbaşkanlığı Kararnamesinin 25 sayılı Cumhurbaşkanlığı Kararnamesinin değişen maddeleri Değişikliğin Yürürlüğe Giriş Tarihi Sayısı Resmî... [Kaynak: 25 m.0],25 m.0,CB_KARARNAME,25 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0039,20013002 m.0 hükmünü tür bazında disambiguation yaparak gösterir misin?,Bu atif YONETMELIK turundedir. Dayanak 20013002 m.0. Diğer Bilgiler. 2/7/2001 TARİH VE 2001/3002 SAYILI BAKANLAR KURULU KARARI İLE YÜRÜRLÜĞE KONULAN YÖNETMELİĞE EK VE DEĞİŞİKLİK GETİREN YÖNETMELİKLERİN YÜRÜRLÜĞE GİRİŞ TARİHLERİNİ GÖSTEREN ÇİZELGE Ek ve Değişiklik Getiren Yönetmeliği Yürürlüğe Koyan Kararnamenin Tarihi... [Kaynak: 20013002 m.0],20013002 m.0,YONETMELIK,20013002 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0040,3345 m.0 atfı hangi mevzuat türüne aittir? Benzer numaralı başka belgelerle karıştırmadan türü ve kısa dayanağı göster.,Bu atif CB_KARAR turundedir. Dayanak 3345 m.0. İSTATİSTİK POZİSYONLARINA BÖLÜNMÜŞ TÜRK GÜMRÜK TARİFE CETVELİ (KARAR SAYISI: 3345) Cetvelleri görmek için tıklayınız. [Kaynak: 3345 m.0],3345 m.0,CB_KARAR,3345 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0041,28 m.0 için belge türünü açıkça ayırır mısın? Yanlış source seçimi yapmadan kısa dayanak ver.,Bu atif CB_GENELGE turundedir. Dayanak 28 m.0. GENELGE Cumhurbaşkanlığından: Konu: Roman Vatandaşlara Yönelik Strateji Belgesi II. Aşama Eylem Planı GENELGE 2019/28 10 Aralık 2019 Recep Tayyip ERDOĞAN CUMHURBAŞKANI 11 Aralık 2019 ÇARŞAMBA Resmî Gazete Sayı : 30975 [Kaynak: 28 m.0],28 m.0,CB_GENELGE,28 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0042,665 m.0 hükmünü tür bazında disambiguation yaparak gösterir misin?,Bu atif KHK turundedir. Dayanak 665 m.0. Diğer Bilgiler. [1] Bu maddede yer alan kadrolarla ilgili olarak 2/11/2011 tarihli ve 28103 (Mükerrer) sayılı Resmî Gazete’ye bakınız. [1] Bu maddede yer alan kadrolarla ilgili olarak 2/11/2011 tarihli ve 28103 (Mükerrer) sayılı Resmî Gazete’ye bakınız. [Kaynak: 665 m.0],665 m.0,KHK,665 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0043,5587 m.0 atfı hangi mevzuat türüne aittir? Benzer numaralı başka belgelerle karıştırmadan türü ve kısa dayanağı göster.,Bu atif KKY turundedir. Dayanak 5587 m.0. Diğer Bilgiler. *Yönetmeliğin eklerine 01/02/2002 ve 02/03/2002 tarihli Resmi Gazetelerden ulaşabilirsiniz. [Kaynak: 5587 m.0],5587 m.0,KKY,5587 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0044,7795 m.0 için belge türünü açıkça ayırır mısın? Yanlış source seçimi yapmadan kısa dayanak ver.,Bu atif UY turundedir. Dayanak 7795 m.0. Diğer Bilgiler. Yürürlük Madde 21- Bu Yönetmelik Resmi Gazetede yayımlandığı tarihte yürürlüğe girer. [Kaynak: 7795 m.0],7795 m.0,UY,7795 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0045,40984 m.0 hükmünü tür bazında disambiguation yaparak gösterir misin?,Bu atif TEBLIGLER turundedir. Dayanak 40984 m.0. 2025-2027 Dönemi Bütçe Çağrısı ve Eki Bütçe Hazırlama Rehberi Metni Görmek İçin Tıklayınız [Kaynak: 40984 m.0],40984 m.0,TEBLIGLER,40984 m.0,YURURLUKTE,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0046,"1005 m.0 yürürlükte mi, mülga mı? Başlangıç ve bitiş durumuyla cevap ver.",Dayanak 1005 m.0 (KANUN). Yururluk durumu: YURURLUKTE. Baslangic: 1968-02-24. Bitis: 9999-12-31. Diğer Bilgiler. 24/2/1968 TARİHLİ VE 1005 SAYILI ANA KANUNA İŞLENEMEYEN HÜKÜMLER 1) 4/8/1999 tarih ve 4432 sayılı Kanunun Geçici Maddesi: Bu Kanunun yayımı tarihine kadar ölmüş olanların dul eşlerine de Kanunun yayımı tarihini takip... [Kaynak: 1005 m.0],1005 m.0,KANUN,1005 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0047,10 m.1 için yürürlük statüsünü tarihleriyle birlikte açıklar mısın?,"Dayanak 10 m.1 (CB_KARAR). Yururluk durumu: YURURLUKTE. Baslangic: 2018-08-03. Bitis: 9999-12-31. Amaç. Amaç MADDE 1 – (1) Bu Kararın amacı; Tusaş-Türk Havacılık ve Uzay Sanayii Anonim Şirketi tarafından Ankara İlinde yapılacak olan milli muharip uçak üretim tesisinin, 20/8/2016 tarihli ve 6745 sayılı Yatırımların Proje... [Kaynak: 10 m.1]",10 m.1,CB_KARAR,10 m.1,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0048,10008 m.0 maddesinin temporal durumunu ve geçerlilik aralığını belirtir misin?,Dayanak 10008 m.0 (KKY). Yururluk durumu: YURURLUKTE. Baslangic: 2006-03-11. Bitis: 9999-12-31. Diğer Bilgiler. Yönetmeliğin Yayımlandığı Resmî Gazete’nin Tarihi Sayısı 11/3/2006 26105 Yönetmelikte Değişiklik Yapan Yönetmeliklerin Yayımlandığı Resmî Gazetelerin Tarihi Sayısı 1. 3/3/2017 29996 2. 16/3/2022 31780 3. 25/8/2022... [Kaynak: 10008 m.0],10008 m.0,KKY,10008 m.0,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0049,"1005 m.1 yürürlükte mi, mülga mı? Başlangıç ve bitiş durumuyla cevap ver.","Dayanak 1005 m.1 (MULGA). Yururluk durumu: MULGA. Baslangic: 1968-02-24. Bitis: UNKNOWN. 1 - 27/4/1976 tarih ve 1985 sayılı Kanun ile yürürlükten kaldırılmış veya değiştirilmiş olan hükümlerin metinleri: (Madde numaraları: 1,2). 1 - 27/4/1976 tarih ve 1985 sayılı Kanun ile yürürlükten kaldırılmış veya değiştirilmiş olan hükümlerin metinleri: (Madde numaraları: 1,2) Madde 1 – (24/2/1968 tarih ve 1005 sayılı Kanunun hükmüdür.) Milli mücadeleye... [Kaynak: 1005 m.1]",1005 m.1,MULGA,1005 m.1,MULGA,false,REVISE,Bitiş tarihi eksik; 1985 sayılı değişikliğin yürürlüğe giriş tarihi dikkate alınmalı.,Dayanak 1005 m.1 (MULGA). Yururluk durumu: MULGA. Baslangic: 1968-02-24. Bitis: 1976-05-01. [Kaynak: 1005 m.1],GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0050,1076 m.14 için yürürlük statüsünü tarihleriyle birlikte açıklar mısın?,"Dayanak 1076 m.14 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: UNKNOWN. Silah altına davet. Silah altına davet Madde 14 – (Değişik: 25/12/1967-976/1 md.) A) (Değişik: 22/5/2012 - 6318/24 md.) Seferde görev alacak yedek subay ve yedek askeri memurlara bu görevleri barışta tebliğ edilir. Tebliğ şekli,... [Kaynak: 1076 m.14]",1076 m.14,MULGA,1076 m.14,MULGA,false,REVISE,Bitiş tarihi eksik; 1076 sayılı Kanun 26/06/2019 tarihinde yürürlükten kalkmıştır.,Dayanak 1076 m.14 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: 2019-06-26. [Kaynak: 1076 m.14],GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0051,1076 m.18 maddesinin temporal durumunu ve geçerlilik aralığını belirtir misin?,"Dayanak 1076 m.18 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: UNKNOWN. Madde No: 18. Madde 18 – Yedek subay ve memurlarından seferde ordudaki vazifelerini ifa ederek, terhis edilenler, memursalar ordudaki hizmetleri kendi memuriyetindeki kıdemlerine zammedilir ve meslek ve memuriyeti sabıkalarına veya... [Kaynak: 1076 m.18]",1076 m.18,MULGA,1076 m.18,MULGA,false,REVISE,Bitiş tarihi eksik; 1076 sayılı Kanun 26/06/2019 tarihinde yürürlükten kalkmıştır.,Dayanak 1076 m.18 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: 2019-06-26. [Kaynak: 1076 m.18],GPT-5.4 Pro,
