q_id,difficulty,primary_type,secondary_types,task_type,reference_date,question,expected_deliverable,source_hint_urls
KANUN-11,3,KANUN,,precise_retrieval,2026-04-19,Bir belediye zabıtası tarafından verilen idari para cezasına karşı genel kural olarak hangi yargı yoluna ve ne kadar sürede başvurulur?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-12,4,KANUN,YONETMELIK,document_selection,2026-04-19,"Bir hosting şirketinin trafik bilgisi saklama ve BTK taleplerine cevap yükümlülüğü için yalnız kanun mu, yoksa kanun artı ikincil düzenleme mi gerekir? Cevabı bu ayrımı gözeterek kur.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-13,4,KANUN,YONETMELIK,compliance_checklist,2026-04-19,Bir işyerinde yeni kimyasal proses devreye giriyor ve ardından ciddi bir iş kazası yaşanıyor. Risk değerlendirmesinin hangi olaylar nedeniyle yenilenmesi gerektiğini çıkar.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-14,4,KANUN,YONETMELIK,temporal_validity,2026-04-19,Sekiz ay önce alınmış bir beyaz eşyada ayıp ortaya çıktı. Tüketicinin seçimlik hakları ve satıcının ispat yükü bakımından hangi güncel kanun hükmü esas alınmalı? Eski/yanlış süre kullanımına düşme.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-15,4,KANUN,YONETMELIK,scenario_applicability,2026-04-19,"Ruhsatsız bir ilave yapı tespit ediliyor. İdarenin yapı tatil, süre verme, ruhsata bağlanabilirlik, yıkım ve para cezası bakımından nasıl bir işlem zinciri izlemesi gerekir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-16,4,KANUN,,scenario_applicability,2026-04-19,İki şirket arasındaki fatura alacağı uyuşmazlığında dava açmadan önce ticari arabuluculuk zorunlu mudur? Hangi kanuni dayanak üzerinden cevap verirsin?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-17,4,KANUN,YONETMELIK,document_selection,2026-04-19,"Bir konkordato dosyasında komiserin kimlerden seçileceği, hangi listeden atanacağı ve temel nitelikleri için hangi norm zinciri gerekir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-18,3,KANUN,,precise_retrieval,2026-04-19,Yıllık ücretli iznin parçalara bölünmesi mümkün müdür? En az kaç günlük bölümün kesintisiz kullandırılması gerekir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-19,4,KANUN,YONETMELIK,precise_retrieval,2026-04-19,"Elektronik tebligat muhatabın elektronik adresine ulaştığı anda mı, yoksa daha sonraki bir tarihte mi tebliğ edilmiş sayılır? Kanun ve yönetmelik ilişkisini de göster.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-20,4,KANUN,,precise_retrieval,2026-04-19,Paylı mülkiyette önalım (şufa) hakkı davası bakımından hak düşürücü süreler nelerdir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-21,4,KANUN,,scenario_applicability,2026-04-19,Kiraya veren ile kiracı arasındaki kira bedeli alacağı ve tahliye talepli bir uyuşmazlıkta 2026 itibarıyla dava şartı arabuluculuk gerekip gerekmediğini hangi kanun zinciriyle kurarsın?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-01,4,CB_KARARNAME,,document_selection,2026-04-19,"Bir bakanlığın görev, yetki, merkez ve taşra teşkilatını ararken ilk başvurulacak cumhurbaşkanlığı kararnamesi hangisidir? Belge adı ve arama stratejisini söyle.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-02,4,CB_KARARNAME,CB_YONETMELIK,document_selection,2026-04-19,Devlet Arşivleri Başkanlığının görev alanı ile arşiv hizmetlerinin genel çerçevesini çıkarmak için hangi CBK ve hangi alt düzenleme birlikte okunmalı?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-03,5,CB_KARARNAME,,temporal_validity,2026-04-19,Üst kademe kamu yöneticilerinin atanmasına ilişkin soruda 2026 itibarıyla 3 sayılı CBK'nın güncel adı ve 19.02.2026 tarihli önemli değişikliği atlanabilir mi?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-04,4,CB_KARARNAME,,document_selection,2026-04-19,"Kadro ihdası, iptali ve pozisyon cetvelleri bakımından temel CBK hangisidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-05,4,CB_KARARNAME,,document_selection,2026-04-19,"Ulusal Coğrafi Bilgi Sistemi, veri paylaşım standartları ve yürütme kurulu yetkisi bakımından hangi CBK esas alınmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBK-06,4,CB_KARARNAME,KKY|CB_YONETMELIK,hierarchy_conflict,2026-04-19,"Bir kurumun iç yönergesi, 49 sayılı CBK'daki veri paylaşım ve standart yükümlülükleriyle çelişiyorsa hangi norm üstün gelir ve cevap nasıl kurulmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-01,4,YONETMELIK,KANUN,precise_retrieval,2026-04-19,"Elektronik tebligatın muhatabın elektronik adresine düştüğü gün mü, yoksa belirli bir bekleme süresinin sonunda mı tebliğ edilmiş sayılacağını yönetmelik düzeyinde açıkla.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-02,4,YONETMELIK,KANUN,compliance_checklist,2026-04-19,"Mesafeli sözleşme kurulurken ön bilgilendirme formunda bulunması gereken asgari başlıkları çıkar. Yalnız kanun değil, yönetmelik detayını kullan.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-03,4,YONETMELIK,KANUN,compliance_checklist,2026-04-19,Risk değerlendirmesinin hangi tetikleyici olaylarda yenilenmesi gerektiğini yönetmelik diliyle çıkar.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-04,4,YONETMELIK,KANUN,compliance_checklist,2026-04-19,"Veri saklama süresi dolan kişisel veriler için periyodik imha, saklama-imha politikası ve kayıt yükümlülükleri hangi yönetmelikten çıkarılır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-05,4,YONETMELIK,KANUN,document_selection,2026-04-19,"Plan notu, otopark hesabı, ortak alan ve bağımsız bölüm yorumları gereken bir imar sorusunda yalnız 3194'e bakmak neden eksik olur? Hangi yönetmeliği de devreye almalısın?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-06,4,YONETMELIK,KANUN,document_selection,2026-04-19,"Konkordato komiserinin eğitim, liste, bağımsızlık ve görevlendirme şartlarını tartışırken hangi yönetmelik merkezde olmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-07,4,YONETMELIK,KANUN,document_selection,2026-04-19,Sosyal medya içerik üreticisinin örtülü reklam yapıp yapmadığı sorusunda hangi yönetmelik ana uygulama metni olarak aranmalıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-08,5,YONETMELIK,UY,current_update,2026-04-19,Yatay geçiş/çift anadal sorusunu 2026'da cevaplarken 28.02.2026 tarihli değişikliği atlamamak için hangi güncel YÖK yönetmeliğini ve hangi yerel üniversite düzenlemesini birlikte kontrol etmelisin?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-09,4,YONETMELIK,KANUN,scenario_applicability,2026-04-19,"Mesafeli satışta siparişin tamamlanması ekranında cayma, toplam bedel ve teslim koşulları tüketiciye gösterilmiyor. Bu eksiklik hangi yönetmelik yükümlülüklerini tetikler?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
YON-10,4,YONETMELIK,KANUN,hierarchy_conflict,2026-04-19,"İşverenin iç prosedürü, risk değerlendirmesi ekibinde bulunması gereken kişileri yönetmelikten daha dar sayarsa hangisi uygulanır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-01,4,CB_YONETMELIK,,document_selection,2026-04-19,"Resmî yazışmalarda sayı, konu, ilgi, dağıtım, paraf, olur ve elektronik imza süreçlerini çalışırken ana yönetmelik hangisidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-02,4,CB_YONETMELIK,,scenario_applicability,2026-04-19,"Bir kamu kurumu, ıslak imzalı bir yazıyı tarayıp e-posta ile göndermeyi 'resmî yazışma tamamlandı' sayıyor. Bunu hangi yönetmelik üzerinden test edersin?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-03,4,CB_YONETMELIK,MULGA,temporal_validity,2026-04-19,"Arşiv mevzuatı sorusunda 1988 tarihli eski metin mi, yoksa 2019 tarihli güncel metin mi kullanılmalı? Cevabı yürürlük durumu üzerinden kur.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-04,4,CB_YONETMELIK,CB_KARARNAME,compliance_checklist,2026-04-19,"Kamu kurumunda saklama planı, ayıklama, devir ve imha süreçleri kurulacak. Uygulanacak temel yönetmeliği ve dayandığı kurumsal CBK bağını göster.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-05,5,CB_YONETMELIK,CB_GENELGE,document_selection,2026-04-19,Kamu kurumunun personel servis hizmeti kurması veya kiralama yoluyla yürütmesi sorusunda hangi CB/BK yönetmeliği ve hangi güncel tasarruf genelgesi birlikte kontrol edilmelidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBY-06,5,CB_YONETMELIK,,current_update,2026-04-19,2026 Nisan değişikliğinden sonra kamu personel servis araçlarında personelin çocuklarının taşınabilmesi için hangi yeni şartlar aranır? Sadece eski metni kullanma.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-01,5,CB_KARAR,TEBLIGLER,current_update,2026-04-19,2026'da belirli bir GTİP için ithalat vergisi veya ek mali yükümlülük soruluyor. Yalnız geçmiş yıl tablolarına bakmak neden hatalı olur? Hangi ana karar ve 2026 değişiklik kararları takip edilmelidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-02,5,CB_KARAR,,current_update,2026-04-19,"2026'da bir ithalat sorusunda 31.12.2020 tarihli 3350 sayılı İthalat Rejimi Kararı mı, yoksa 2026 değişiklikleriyle konsolide metin mi esas alınmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-03,5,CB_KARAR,TEBLIGLER,temporal_validity,2026-04-19,"Yatırım teşvik belgesi başvurusu 2026'da yapılıyor. Eski 2012/3305 rejimi mi, yoksa 30.05.2025 tarihli yeni sistem mi esas alınmalı? Geçiş kuralını da belirt.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-04,5,CB_KARAR,CB_GENELGE,precise_retrieval,2026-04-19,2026 Yılı Kamu Yatırım Programında yer almayan bir proje için ihale yapılabilir mi? Soruyu hangi karar üzerinden cevaplayıp hangi uygulama genelgesine bakarsın?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-05,5,CB_KARAR,TEBLIGLER,document_selection,2026-04-19,"Döviz cinsinden sözleşme yasağı ve istisnaları sorulunca yalnız 32 sayılı Karar yeterli midir, yoksa tebliğ zinciri de zorunlu mudur?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-06,4,CB_KARAR,CB_GENELGE,document_selection,2026-04-19,"Kamu yatırım projesinin tutarı veya karakteristiği yıl içinde değişecekse yalnız yatırım programı kararı mı, yoksa yıl içi işlemleri düzenleyen genelge de mi aranmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-07,4,CB_KARAR,,hierarchy_conflict,2026-04-19,İthalat Rejimi Kararı ile eski bir kurum duyurusu/pratik not çelişiyorsa hangisi esas alınır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBKAR-08,5,CB_KARAR,TEBLIGLER,temporal_validity,2026-04-19,"Bir yatırımcı 20.05.2025'te yaptığı başvuru için 2026'da işlem tesis ettiriyor. Yeni 9903 sayılı karar mı uygulanır, yoksa geçiş nedeniyle eski rejim de devrede kalabilir mi?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBG-01,5,CB_GENELGE,,precise_retrieval,2026-04-19,Bir kamu kurumu 2026'da yeni hizmet binası kiralamak istiyor. 2024/7 sayılı Tasarruf Tedbirleri Genelgesi karşısında bunun genel kuralı ve istisnası nedir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBG-02,5,CB_GENELGE,KANUN,compliance_checklist,2026-04-19,"Bir kamu kurumu biyometrik, sağlık ve iletişim kayıtlarını yabancı bulutta tutmak istiyor. 2019/12 sayılı Genelge bakımından hangi asgari güvenlik yaklaşımı test edilmelidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBG-03,5,CB_GENELGE,KANUN,compliance_checklist,2026-04-19,2025/3 sayılı Mobbing Genelgesi uyarınca işverenin ve kurum yönetiminin en az hangi önleyici yükümlülükleri kurması gerekir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
CBG-04,5,CB_GENELGE,MULGA,temporal_validity,2026-04-19,"Mobbing sorusunda hâlâ eski Başbakanlık Genelgesine mi dönmelisin, yoksa 2025/3 sayılı yeni Cumhurbaşkanlığı Genelgesi mi esas alınmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-01,4,KHK,KANUN,document_selection,2026-04-19,"Kamu iktisadi teşebbüslerinin statüsü, organları ve bağlı ortaklık rejimini tartışırken ilk bakılacak KHK hangisidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-02,4,KHK,KANUN,document_selection,2026-04-19,Kamu personelinin bazı mali ve sözleşmesel rejim sorularında neden sıkça 375 sayılı KHK'ya dönmek gerekir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-03,4,KHK,CB_KARARNAME,temporal_validity,2026-04-19,"Mevzuat hâlâ 'Bakanlar Kurulu' veya eski teşkilat isimlerine atıf yapıyorsa, Cumhurbaşkanlığı Hükümet Sistemine geçiş bakımından hangi KHK ve hangi CBK bağlantısı kontrol edilmelidir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-04,4,KHK,KANUN,hierarchy_conflict,2026-04-19,"Bir KİT'e ilişkin özel rejim sorusunda 233 sayılı KHK ile TTK arasında çatışma görünüyorsa, özel rejim/lex specialis analizi nasıl kurulmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-05,4,KHK,,document_selection,2026-04-19,Kamu görevlilerinin mali haklarında eşitleme/eşit ücret mantığı tartışılırken 666 sayılı KHK'nın hâlâ referans değeri var mıdır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KHK-06,5,KHK,MULGA|KANUN,temporal_validity,2026-04-19,"Sınai mülkiyet konusunda 551, 554, 555 ve 556 sayılı KHK'lara dayanarak 2026'da doğrudan sonuç üretmek güvenli midir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TUZUK-01,4,TUZUK,KANUN,document_selection,2026-04-19,"Tapu kütüğü, yevmiye defteri, resmi belgeler ve yardımcı sicillerin nasıl tutulduğunu ararken hangi tüzük merkezde olmalıdır?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TUZUK-02,4,TUZUK,KANUN,precise_retrieval,2026-04-19,TAKBİS üzerinden elektronik sicil tutulması sorulduğunda hangi tüzük hükümleri devreye girer? Ana ve yardımcı sicil ayrımını da göster.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TUZUK-03,5,TUZUK,MULGA,temporal_validity,2026-04-19,"Tapu siciliyle ilgili bir soruda 1994 tarihli eski tüzük mü, yoksa 2013 tarihli güncel tüzük mü kullanılmalı?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TUZUK-04,5,TUZUK,KANUN|YONETMELIK,temporal_validity,2026-04-19,İş sağlığı ve güvenliği alanında sadece eski tüzükleri tarayıp 2026 uyum cevabı vermek neden risklidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
TUZUK-05,4,TUZUK,KKY,hierarchy_conflict,2026-04-19,Geçerli bir tüzük hükmü ile kurum içi alt düzenleme çelişirse hangisi uygulanır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-01,5,KKY,KANUN,document_selection,2026-04-19,Bir banka çekirdek bankacılık altyapısını dış hizmet sağlayıcıya taşıyacak. Bilgi sistemleri yönetişimi ve elektronik bankacılık riskleri bakımından merkez yönetmelik hangisidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.bddk.org.tr/Mevzuat | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-02,5,KKY,KANUN,document_selection,2026-04-19,Bir banka müşterisini şubeye gelmeden uzaktan müşteri edinmek istiyor. Hangi kurum yönetmeliği ana uygulama metnidir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.bddk.org.tr/Mevzuat | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KKY-03,5,KKY,KANUN|CB_GENELGE,hierarchy_conflict,2026-04-19,Bir banka müşteri verilerini yurtdışındaki bulut altyapısında tutmak istiyor. Bankacılık sektörüne özgü bilgi sistemleri yönetmeliği ile KVKK ve kamu bilgi güvenliği yaklaşımı birlikte nasıl okunmalı?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.bddk.org.tr/Mevzuat | https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
