batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyerA_decision,lawyerA_comment,lawyerA_corrected_answer,lawyerA_reviewer_name,lawyerB_decision,lawyerB_comment,lawyerB_corrected_answer,lawyerB_reviewer_name,decision_pair,is_disagreement,final_bucket,final_answer_source,final_answer,include_in_training,unresolved_reason
28,3730b2c15d2f35dc,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:467:tpl:3,train_pending_review,,,,,TBK m.467 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.467] Başlık: İşçiyi aralıksız biçimde çalıştıran işveren, ürünü
kabulde temerrüde düştüğü veya işçinin kişiliğinden kaynaklanan sebeplerle ve kusuru olmaksızın çalışma engellendiği takdirde, hizmet ediminin engellenmesi durumundaki ücret ödenmesine ilişkin hükümler gereğince, ona ücretini ödemekle yükümlüdür. Diğer durumlarda işveren, bu hükümlere göre ücret ödemekle yükümlü değildir.","Özet: ""kabulde temerrüde düştüğü veya işçinin kişiliğinden kaynaklanan sebeplerle ve kusuru olmaksızın çalışma engellendiği takdirde, hizmet ediminin engellenmesi durumundaki ücret ödenmesine ilişkin hükümler gereğince, ona ücretini ödemekle yükümlüdür."" [Kaynak: TBK m.467]",REVISE,,"Özet: ""İşçiyi aralıksız biçimde çalıştıran işveren, ürünü kabulde temerrüde düştüğü veya işçinin kişiliğinden kaynaklanan sebeplerle ve kusuru olmaksızın çalışma engellendiği takdirde, hizmet ediminin engellenmesi durumundaki ücret ödenmesine ilişkin hükümler gereğince, ona ücretini ödemekle yükümlüdür. Diğer durumlarda işveren, bu hükümlere göre ücret ödemekle yükümlü değildir."" [Kaynak: TBK m.467]",,REVISE,,"Özet: İşçiyi aralıksız biçimde çalıştıran işveren, ürünü kabulde temerrüde düştüğü veya işçinin kişiliğinden kaynaklanan sebeplerle ve kusuru olmaksızın çalışma engellendiği takdirde, hizmet ediminin engellenmesi durumundaki ücret ödenmesine ilişkin hükümler gereğince, ona ücretini ödemekle yükümlüdür. Diğer durumlarda işveren, bu hükümlere göre ücret ödemekle yükümlü değildir. [Kaynak: TBK m.467]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""İşçiyi aralıksız biçimde çalıştıran işveren, ürünü kabulde temerrüde düştüğü veya işçinin kişiliğinden kaynaklanan sebeplerle ve kusuru olmaksızın çalışma engellendiği takdirde, hizmet ediminin engellenmesi durumundaki ücret ödenmesine ilişkin hükümler gereğince, ona ücretini ödemekle yükümlüdür. Diğer durumlarda işveren, bu hükümlere göre ücret ödemekle yükümlü değildir."" [Kaynak: TBK m.467]",1,
29,3760d76e646b3b74,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:88:tpl:3,train_pending_review,,,,,TBK m.88 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.88] Başlık: 5. Faiz / Faiz ödeme borcunda uygulanacak yıllık faiz oranı,
sözleşmede kararlaştırılmamışsa faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir. Sözleşme ile kararlaştırılacak yıllık faiz oranı, birinci fıkra uyarınca belirlenen yıllık faiz oranının yüzde elli fazlasını aşamaz.","Özet: ""sözleşmede kararlaştırılmamışsa faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir."" [Kaynak: TBK m.88]",REVISE,,"Özet: ""Faiz ödeme borcunda uygulanacak yıllık faiz oranı, sözleşmede kararlaştırılmamışsa faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir. Sözleşme ile kararlaştırılacak yıllık faiz oranı, birinci fıkra uyarınca belirlenen yıllık faiz oranının yüzde elli fazlasını aşamaz."" [Kaynak: TBK m.88]",,REVISE,,"Özet: Faiz ödeme borcunda uygulanacak yıllık faiz oranı, sözleşmede kararlaştırılmamışsa faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir. Sözleşme ile kararlaştırılacak yıllık faiz oranı, birinci fıkra uyarınca belirlenen yıllık faiz oranının yüzde elli fazlasını aşamaz. [Kaynak: TBK m.88]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Faiz ödeme borcunda uygulanacak yıllık faiz oranı, sözleşmede kararlaştırılmamışsa faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir. Sözleşme ile kararlaştırılacak yıllık faiz oranı, birinci fıkra uyarınca belirlenen yıllık faiz oranının yüzde elli fazlasını aşamaz."" [Kaynak: TBK m.88]",1,
30,376fa76482fc6d2f,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:73:tpl:2,train_pending_review,,,,,TBK m.73 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.73] Başlık: II. Rücu isteminde / Rücu istemi, tazminatın tamamının ödendiği ve birlikte
sorumlu kişinin öğrenildiği tarihten başlayarak iki yılın ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak on yılın geçmesiyle zamanaşımına uğrar. Tazminatın ödenmesi kendisinden istenilen kişi, durumu birlikte sorumlu olduğu kişilere bildirmek zorundadır. Aksi takdirde zamanaşımı, bu bildirimin dürüstlük kurallarına göre yapılabileceği tarihte işlemeye başlar. D. Yargılama","Madde metni şu kuralı içerir: ""sorumlu kişinin öğrenildiği tarihten başlayarak iki yılın ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak on yılın geçmesiyle zamanaşımına uğrar."" [Kaynak: TBK m.73]",REVISE,,"Madde metni şu kuralı içerir: ""Rücu istemi, tazminatın tamamının ödendiği ve birlikte sorumlu kişinin öğrenildiği tarihten başlayarak iki yılın ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak on yılın geçmesiyle zamanaşımına uğrar. Tazminatın ödenmesi kendisinden istenilen kişi, durumu birlikte sorumlu olduğu kişilere bildirmek zorundadır. Aksi takdirde zamanaşımı, bu bildirimin dürüstlük kurallarına göre yapılabileceği tarihte işlemeye başlar."" [Kaynak: TBK m.73]",,REVISE,,"Madde metni şu kuralı içerir: Rücu istemi, tazminatın tamamının ödendiği ve birlikte sorumlu kişinin öğrenildiği tarihten başlayarak iki yılın ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak on yılın geçmesiyle zamanaşımına uğrar. Tazminatın ödenmesi kendisinden istenilen kişi, durumu birlikte sorumlu olduğu kişilere bildirmek zorundadır. Aksi takdirde zamanaşımı, bu bildirimin dürüstlük kurallarına göre yapılabileceği tarihte işlemeye başlar. [Kaynak: TBK m.73]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Rücu istemi, tazminatın tamamının ödendiği ve birlikte sorumlu kişinin öğrenildiği tarihten başlayarak iki yılın ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak on yılın geçmesiyle zamanaşımına uğrar. Tazminatın ödenmesi kendisinden istenilen kişi, durumu birlikte sorumlu olduğu kişilere bildirmek zorundadır. Aksi takdirde zamanaşımı, bu bildirimin dürüstlük kurallarına göre yapılabileceği tarihte işlemeye başlar."" [Kaynak: TBK m.73]",1,
31,37752127e74099fb,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:204:tpl:1,train_pending_review,,,,,TBK m.204'e göre temel kural nedir?,"[Kaynak: TBK m.204] Başlık: H. Özel hükümlerin / Mirasın paylaşılması ve rehinli taşınmazların devri
konusundaki borcun üstlenilmesine ilişkin özel hükümler saklıdır. ÜÇÜNCÜ AYIRIM Sözleşmenin Devri ve Sözleşmeye Katılma","TBK m.204 metnine göre: ""konusundaki borcun üstlenilmesine ilişkin özel hükümler saklıdır. ÜÇÜNCÜ AYIRIM Sözleşmenin Devri ve Sözleşmeye Katılma"" [Kaynak: TBK m.204]",REVISE,,"TBK m.204 metnine göre: ""Mirasın paylaşılması ve rehinli taşınmazların devri konusundaki borcun üstlenilmesine ilişkin özel hükümler saklıdır."" [Kaynak: TBK m.204]",,REVISE,,"TBK m.204 metnine göre: ""Mirasın paylaşılması ve rehinli taşınmazların devri konusundaki borcun üstlenilmesine ilişkin özel hükümler saklıdır."" [Kaynak: TBK m.204]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.204 metnine göre: ""Mirasın paylaşılması ve rehinli taşınmazların devri konusundaki borcun üstlenilmesine ilişkin özel hükümler saklıdır."" [Kaynak: TBK m.204]",1,
32,378bec510f5d65e3,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:257:tpl:3,train_pending_review,,,,,TBK m.257 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.257] Başlık: Alıcı, satıcının taksitle satıştan doğan alacağı ile
kendisinin satıcıdan olan alacağını takas etme hakkından önceden feragat edemez. Alacağın devredilmesi durumunda alıcının, satış bedeli alacağına ilişkin def’ileri sınırlanamaz ve ortadan kaldırılamaz. c. Satış bedelinin tamamen ödenmesi","Özet: ""kendisinin satıcıdan olan alacağını takas etme hakkından önceden feragat edemez."" [Kaynak: TBK m.257]",REVISE,,"Özet: ""Alıcı, satıcının taksitle satıştan doğan alacağı ile kendisinin satıcıdan olan alacağını takas etme hakkından önceden feragat edemez. Alacağın devredilmesi durumunda alıcının, satış bedeli alacağına ilişkin def’ileri sınırlanamaz ve ortadan kaldırılamaz."" [Kaynak: TBK m.257]",,REVISE,,"Özet: Alıcı, satıcının taksitle satıştan doğan alacağı ile kendisinin satıcıdan olan alacağını takas etme hakkından önceden feragat edemez. Alacağın devredilmesi durumunda alıcının, satış bedeli alacağına ilişkin def’ileri sınırlanamaz ve ortadan kaldırılamaz. [Kaynak: TBK m.257]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Alıcı, satıcının taksitle satıştan doğan alacağı ile kendisinin satıcıdan olan alacağını takas etme hakkından önceden feragat edemez. Alacağın devredilmesi durumunda alıcının, satış bedeli alacağına ilişkin def’ileri sınırlanamaz ve ortadan kaldırılamaz."" [Kaynak: TBK m.257]",1,
33,37d34a2cc529e01d,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:500:tpl:4,train_pending_review,,,,,TBK m.500 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.500] Başlık: III. Kişisel sebeplerle / Eser sahibi eseri tamamlamadan önce ölür veya tamamlama
yeteneğini yitirir ya da eseri tamamlaması kendi kusuru olmaksızın imkânsız duruma gelirse, sözleşme kendiliğinden sona erer. Ancak, sözleşmenin tamamı veya bir bölümünün yerine getirilmesi mümkün ve hakkaniyete uygun bulunursa hâkim, sözleşme ilişkisinin devam etmesine ve bunun için gereken değişikliklerin yapılmasına karar verebilir. Yayımcı iflas ederse yayımlatan, eseri başka bir yayımcıya verebilir; ancak, iflas anında henüz muaccel olmamış borcun yerine getirileceği konusunda güvence gösterilmişse, yayımlatan eseri başka bir yayımcıya veremez.","Doğrudan metin dayanağı: ""yeteneğini yitirir ya da eseri tamamlaması kendi kusuru olmaksızın imkânsız duruma gelirse, sözleşme kendiliğinden sona erer."" [Kaynak: TBK m.500]",REVISE,,"Doğrudan metin dayanağı: ""Eser sahibi eseri tamamlamadan önce ölür veya tamamlama yeteneğini yitirir ya da eseri tamamlaması kendi kusuru olmaksızın imkânsız duruma gelirse, sözleşme kendiliğinden sona erer. Ancak, sözleşmenin tamamı veya bir bölümünün yerine getirilmesi mümkün ve hakkaniyete uygun bulunursa hâkim, sözleşme ilişkisinin devam etmesine ve bunun için gereken değişikliklerin yapılmasına karar verebilir. Yayımcı iflas ederse yayımlatan, eseri başka bir yayımcıya verebilir; ancak, iflas anında henüz muaccel olmamış borcun yerine getirileceği konusunda güvence gösterilmişse, yayımlatan eseri başka bir yayımcıya veremez."" [Kaynak: TBK m.500]",,REVISE,,"Doğrudan metin dayanağı: ""Eser sahibi eseri tamamlamadan önce ölür veya tamamlama yeteneğini yitirir ya da eseri tamamlaması kendi kusuru olmaksızın imkânsız duruma gelirse, sözleşme kendiliğinden sona erer. Ancak, sözleşmenin tamamı veya bir bölümünün yerine getirilmesi mümkün ve hakkaniyete uygun bulunursa hâkim, sözleşme ilişkisinin devam etmesine ve bunun için gereken değişikliklerin yapılmasına karar verebilir. Yayımcı iflas ederse yayımlatan, eseri başka bir yayımcıya verebilir; ancak, iflas anında henüz muaccel olmamış borcun yerine getirileceği konusunda güvence gösterilmişse, yayımlatan eseri başka bir yayımcıya veremez."" [Kaynak: TBK m.500]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Eser sahibi eseri tamamlamadan önce ölür veya tamamlama yeteneğini yitirir ya da eseri tamamlaması kendi kusuru olmaksızın imkânsız duruma gelirse, sözleşme kendiliğinden sona erer. Ancak, sözleşmenin tamamı veya bir bölümünün yerine getirilmesi mümkün ve hakkaniyete uygun bulunursa hâkim, sözleşme ilişkisinin devam etmesine ve bunun için gereken değişikliklerin yapılmasına karar verebilir. Yayımcı iflas ederse yayımlatan, eseri başka bir yayımcıya verebilir; ancak, iflas anında henüz muaccel olmamış borcun yerine getirileceği konusunda güvence gösterilmişse, yayımlatan eseri başka bir yayımcıya veremez."" [Kaynak: TBK m.500]",1,
34,37fd04d3a86684f9,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:400:tpl:4,train_pending_review,,,,,TBK m.400 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.400] Başlık: VI. İşçinin sorumluluğu / İşçi, işverene kusuruyla verdiği her türlü zarardan
sorumludur. Bu sorumluluğun belirlenmesinde; işin tehlikeli olup olmaması, uzmanlığı ve eğitimi gerektirip gerektirmemesi ile işçinin işveren tarafından bilinen veya bilinmesi gereken yetenek ve nitelikleri göz önünde tutulur. D. İşverenin borçları I. Ücret ödeme borcu","Doğrudan metin dayanağı: ""sorumludur. Bu sorumluluğun belirlenmesinde; işin tehlikeli olup olmaması, uzmanlığı ve eğitimi gerektirip gerektirmemesi ile işçinin işveren tarafından bilinen veya bilinmesi gereken yetenek ve nitelikleri göz önünde tutulur."" [Kaynak: TBK m.400]",REVISE,,"Doğrudan metin dayanağı: ""İşçi, işverene kusuruyla verdiği her türlü zarardan sorumludur. Bu sorumluluğun belirlenmesinde; işin tehlikeli olup olmaması, uzmanlığı ve eğitimi gerektirip gerektirmemesi ile işçinin işveren tarafından bilinen veya bilinmesi gereken yetenek ve nitelikleri göz önünde tutulur."" [Kaynak: TBK m.400]",,REVISE,,"Doğrudan metin dayanağı: ""İşçi, işverene kusuruyla verdiği her türlü zarardan sorumludur. Bu sorumluluğun belirlenmesinde; işin tehlikeli olup olmaması, uzmanlığı ve eğitimi gerektirip gerektirmemesi ile işçinin işveren tarafından bilinen veya bilinmesi gereken yetenek ve nitelikleri göz önünde tutulur."" [Kaynak: TBK m.400]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""İşçi, işverene kusuruyla verdiği her türlü zarardan sorumludur. Bu sorumluluğun belirlenmesinde; işin tehlikeli olup olmaması, uzmanlığı ve eğitimi gerektirip gerektirmemesi ile işçinin işveren tarafından bilinen veya bilinmesi gereken yetenek ve nitelikleri göz önünde tutulur."" [Kaynak: TBK m.400]",1,
35,381d58da585c0103,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:429:tpl:4,train_pending_review,,,,,TBK m.429 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.429] Başlık: II. Sözleşmenin devri / Hizmet sözleşmesi, ancak işçinin yazılı rızası alınmak
suretiyle, sürekli olarak başka bir işverene devredilebilir. Devir işlemiyle, devralan, bütün hak ve borçları ile birlikte, hizmet sözleşmesinin işveren tarafı olur. Bu durumda, işçinin, hizmet süresine bağlı hakları bakımından, devreden işveren yanında işe başladığı tarih esas alınır. G. Sözleşmenin sona ermesi","Doğrudan metin dayanağı: ""suretiyle, sürekli olarak başka bir işverene devredilebilir. Devir işlemiyle, devralan, bütün hak ve borçları ile birlikte, hizmet sözleşmesinin işveren tarafı olur."" [Kaynak: TBK m.429]",REVISE,,"Doğrudan metin dayanağı: ""Hizmet sözleşmesi, ancak işçinin yazılı rızası alınmak suretiyle, sürekli olarak başka bir işverene devredilebilir. Devir işlemiyle, devralan, bütün hak ve borçları ile birlikte, hizmet sözleşmesinin işveren tarafı olur. Bu durumda, işçinin, hizmet süresine bağlı hakları bakımından, devreden işveren yanında işe başladığı tarih esas alınır."" [Kaynak: TBK m.429]",,REVISE,,"Doğrudan metin dayanağı: ""Hizmet sözleşmesi, ancak işçinin yazılı rızası alınmak suretiyle, sürekli olarak başka bir işverene devredilebilir. Devir işlemiyle, devralan, bütün hak ve borçları ile birlikte, hizmet sözleşmesinin işveren tarafı olur. Bu durumda, işçinin, hizmet süresine bağlı hakları bakımından, devreden işveren yanında işe başladığı tarih esas alınır."" [Kaynak: TBK m.429]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Hizmet sözleşmesi, ancak işçinin yazılı rızası alınmak suretiyle, sürekli olarak başka bir işverene devredilebilir. Devir işlemiyle, devralan, bütün hak ve borçları ile birlikte, hizmet sözleşmesinin işveren tarafı olur. Bu durumda, işçinin, hizmet süresine bağlı hakları bakımından, devreden işveren yanında işe başladığı tarih esas alınır."" [Kaynak: TBK m.429]",1,
36,38257313f8ebe394,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:520:tpl:3,train_pending_review,,,,,TBK m.520 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.520] Başlık: A. Tanımı ve şekli / Simsarlık sözleşmesi, simsarın taraflar arasında bir
sözleşme kurulması imkânının hazırlanmasını veya kurulmasına aracılık etmeyi üstlendiği ve bu sözleşmenin kurulması hâlinde ücrete hak kazandığı sözleşmedir. Simsarlık sözleşmesine, kural olarak vekâlete ilişkin hükümler uygulanır. Taşınmazlar konusundaki simsarlık sözleşmesi, yazılı şekilde yapılmadıkça geçerli olmaz. B. Ücret","Özet: ""sözleşme kurulması imkânının hazırlanmasını veya kurulmasına aracılık etmeyi üstlendiği ve bu sözleşmenin kurulması hâlinde ücrete hak kazandığı sözleşmedir."" [Kaynak: TBK m.520]",REVISE,,"Özet: ""Simsarlık sözleşmesi, simsarın taraflar arasında bir sözleşme kurulması imkânının hazırlanmasını veya kurulmasına aracılık etmeyi üstlendiği ve bu sözleşmenin kurulması hâlinde ücrete hak kazandığı sözleşmedir. Simsarlık sözleşmesine, kural olarak vekâlete ilişkin hükümler uygulanır. Taşınmazlar konusundaki simsarlık sözleşmesi, yazılı şekilde yapılmadıkça geçerli olmaz."" [Kaynak: TBK m.520]",,REVISE,,"Özet: Simsarlık sözleşmesi, simsarın taraflar arasında bir sözleşme kurulması imkânının hazırlanmasını veya kurulmasına aracılık etmeyi üstlendiği ve bu sözleşmenin kurulması hâlinde ücrete hak kazandığı sözleşmedir. Simsarlık sözleşmesine, kural olarak vekâlete ilişkin hükümler uygulanır. Taşınmazlar konusundaki simsarlık sözleşmesi, yazılı şekilde yapılmadıkça geçerli olmaz. [Kaynak: TBK m.520]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Simsarlık sözleşmesi, simsarın taraflar arasında bir sözleşme kurulması imkânının hazırlanmasını veya kurulmasına aracılık etmeyi üstlendiği ve bu sözleşmenin kurulması hâlinde ücrete hak kazandığı sözleşmedir. Simsarlık sözleşmesine, kural olarak vekâlete ilişkin hükümler uygulanır. Taşınmazlar konusundaki simsarlık sözleşmesi, yazılı şekilde yapılmadıkça geçerli olmaz."" [Kaynak: TBK m.520]",1,
37,382d62cf5ffdf9d0,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:71:tpl:2,train_pending_review,,,,,TBK m.71 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.71] Başlık: III. Tehlike sorumluluğu / Önemli ölçüde tehlike arzeden bir işletmenin
faaliyetinden zarar doğduğu takdirde, bu zarardan işletme sahibi ve varsa işleten müteselsilen sorumludur. Bir işletmenin, mahiyeti veya faaliyette kullanılan malzeme, araçlar ya da güçler göz önünde tutulduğunda, bu işlerde uzman bir kişiden beklenen tüm özenin gösterilmesi durumunda bile sıkça veya ağır zararlar doğurmaya elverişli olduğu sonucuna varılırsa, bunun önemli ölçüde tehlike arzeden bir işletme olduğu kabul edilir. Özellikle, herhangi bir kanunda benzeri tehlikeler arzeden işletmeler için özel bir tehlike sorumluluğu öngörülmüşse, bu işletme de önemli ölçüde tehlike arzeden işletme sayılır. Belirli bir tehlike hâli için öngörülen özel sorumluluk hükümleri saklıdır. Önemli ölçüde tehlike arzeden bir işletmenin bu tür faaliyetine hukuk düzenince izin verilmiş olsa bile, zarar görenler, bu işletmenin faaliyetinin sebep olduğu zararlarının uygun bir bedelle denkleştirilmesini isteyebilirler. C. Zamanaşımı","Madde metni şu kuralı içerir: ""faaliyetinden zarar doğduğu takdirde, bu zarardan işletme sahibi ve varsa işleten müteselsilen sorumludur."" [Kaynak: TBK m.71]",REVISE,,"Madde metni şu kuralı içerir: ""Önemli ölçüde tehlike arzeden bir işletmenin faaliyetinden zarar doğduğu takdirde, bu zarardan işletme sahibi ve varsa işleten müteselsilen sorumludur. Bir işletmenin, mahiyeti veya faaliyette kullanılan malzeme, araçlar ya da güçler göz önünde tutulduğunda, bu işlerde uzman bir kişiden beklenen tüm özenin gösterilmesi durumunda bile sıkça veya ağır zararlar doğurmaya elverişli olduğu sonucuna varılırsa, bunun önemli ölçüde tehlike arzeden bir işletme olduğu kabul edilir. Özellikle, herhangi bir kanunda benzeri tehlikeler arzeden işletmeler için özel bir tehlike sorumluluğu öngörülmüşse, bu işletme de önemli ölçüde tehlike arzeden işletme sayılır. Belirli bir tehlike hâli için öngörülen özel sorumluluk hükümleri saklıdır. Önemli ölçüde tehlike arzeden bir işletmenin bu tür faaliyetine hukuk düzenince izin verilmiş olsa bile, zarar görenler, bu işletmenin faaliyetinin sebep olduğu zararlarının uygun bir bedelle denkleştirilmesini isteyebilirler."" [Kaynak: TBK m.71]",,REVISE,,"Madde metni şu kuralı içerir: Önemli ölçüde tehlike arzeden bir işletmenin faaliyetinden zarar doğduğu takdirde, bu zarardan işletme sahibi ve varsa işleten müteselsilen sorumludur. Bir işletmenin, mahiyeti veya faaliyette kullanılan malzeme, araçlar ya da güçler göz önünde tutulduğunda, bu işlerde uzman bir kişiden beklenen tüm özenin gösterilmesi durumunda bile sıkça veya ağır zararlar doğurmaya elverişli olduğu sonucuna varılırsa, bunun önemli ölçüde tehlike arzeden bir işletme olduğu kabul edilir. Özellikle, herhangi bir kanunda benzeri tehlikeler arzeden işletmeler için özel bir tehlike sorumluluğu öngörülmüşse, bu işletme de önemli ölçüde tehlike arzeden işletme sayılır. Belirli bir tehlike hâli için öngörülen özel sorumluluk hükümleri saklıdır. Önemli ölçüde tehlike arzeden bir işletmenin bu tür faaliyetine hukuk düzenince izin verilmiş olsa bile, zarar görenler, bu işletmenin faaliyetinin sebep olduğu zararlarının uygun bir bedelle denkleştirilmesini isteyebilirler. [Kaynak: TBK m.71]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Önemli ölçüde tehlike arzeden bir işletmenin faaliyetinden zarar doğduğu takdirde, bu zarardan işletme sahibi ve varsa işleten müteselsilen sorumludur. Bir işletmenin, mahiyeti veya faaliyette kullanılan malzeme, araçlar ya da güçler göz önünde tutulduğunda, bu işlerde uzman bir kişiden beklenen tüm özenin gösterilmesi durumunda bile sıkça veya ağır zararlar doğurmaya elverişli olduğu sonucuna varılırsa, bunun önemli ölçüde tehlike arzeden bir işletme olduğu kabul edilir. Özellikle, herhangi bir kanunda benzeri tehlikeler arzeden işletmeler için özel bir tehlike sorumluluğu öngörülmüşse, bu işletme de önemli ölçüde tehlike arzeden işletme sayılır. Belirli bir tehlike hâli için öngörülen özel sorumluluk hükümleri saklıdır. Önemli ölçüde tehlike arzeden bir işletmenin bu tür faaliyetine hukuk düzenince izin verilmiş olsa bile, zarar görenler, bu işletmenin faaliyetinin sebep olduğu zararlarının uygun bir bedelle denkleştirilmesini isteyebilirler."" [Kaynak: TBK m.71]",1,
38,383b7feab0cdb459,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:104:tpl:2,train_pending_review,,,,,TBK m.104 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.104] Başlık: 2. Hükümleri / Faiz veya kira bedeli gibi dönemsel edimlerden biri
için, alacaklı tarafından çekince belirtilmeksizin makbuz verilmişse, önceki dönemlere ait edimler de ifa edilmiş sayılır. Alacaklı anaparanın tamamı için makbuz vermişse, faizlerini de almış olduğu kabul edilir. Borç senedi borçluya geri verilmişse, borç sona ermiş sayılır.","Madde metni şu kuralı içerir: ""için, alacaklı tarafından çekince belirtilmeksizin makbuz verilmişse, önceki dönemlere ait edimler de ifa edilmiş sayılır."" [Kaynak: TBK m.104]",REVISE,,"Madde metni şu kuralı içerir: ""Faiz veya kira bedeli gibi dönemsel edimlerden biri için, alacaklı tarafından çekince belirtilmeksizin makbuz verilmişse, önceki dönemlere ait edimler de ifa edilmiş sayılır. Alacaklı anaparanın tamamı için makbuz vermişse, faizlerini de almış olduğu kabul edilir. Borç senedi borçluya geri verilmişse, borç sona ermiş sayılır."" [Kaynak: TBK m.104]",,REVISE,,"Madde metni şu kuralı içerir: Faiz veya kira bedeli gibi dönemsel edimlerden biri için, alacaklı tarafından çekince belirtilmeksizin makbuz verilmişse, önceki dönemlere ait edimler de ifa edilmiş sayılır. Alacaklı anaparanın tamamı için makbuz vermişse, faizlerini de almış olduğu kabul edilir. Borç senedi borçluya geri verilmişse, borç sona ermiş sayılır. [Kaynak: TBK m.104]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Faiz veya kira bedeli gibi dönemsel edimlerden biri için, alacaklı tarafından çekince belirtilmeksizin makbuz verilmişse, önceki dönemlere ait edimler de ifa edilmiş sayılır. Alacaklı anaparanın tamamı için makbuz vermişse, faizlerini de almış olduğu kabul edilir. Borç senedi borçluya geri verilmişse, borç sona ermiş sayılır."" [Kaynak: TBK m.104]",1,
